Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
Breaking Upwards,2009,N/A,2009-03-14,88 min,Romance,Daryl Wein,"Peter Duchan (screenplay), Zoe Lister-Jones (screenplay), Daryl Wein (screenplay)","Zoe Lister-Jones, Daryl Wein, Julie White, Andrea Martin",A young New York couple intricately strategize their own break up.,English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzg0NzY4OTQwNF5BMl5BanBnXkFtZTcwODI2NDcyMw@@._V1_SX300.jpg,56,6.2,1251,tt1247644,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/breaking_upwards/,2010-10-12,N/A,IFC Films,http://www.breakingupwards.com/,True,NA,Rotten Tomatoes,60%
Pink Flamingos,1972,NC-17,1979-10-01,93 min,"Comedy, Crime",John Waters,John Waters,"Divine, David Lochary, Mary Vivian Pearce, Mink Stole","Notorious Baltimore criminal and underground figure Divine goes up against a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as ""The Filthiest Person Alive"".",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjc2NTM3ZTEtYzc0ZC00NjQ4LTk3MzktN2I4OWE1NTU3ZDFmXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,47,6.1,19735,tt0069089,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/pink_flamingos/,2005-06-14,N/A,New Line Cinema,N/A,True,NA,Rotten Tomatoes,80%
Clean,2004,R,2004-09-01,90 min,"Drama, Music, Romance",Olivier Assayas,Olivier Assayas,"Maggie Cheung, Nick Nolte, Béatrice Dalle, Jeanne Balibar",London-based Emily Wang gained minor notoriety from her VJ-ing on cable television. She is now more renowned for being the longtime girlfriend and pseudo manager of rock musician Lee Hauser...,"French, English, Cantonese","France, Canada, UK",2 wins & 8 nominations.,https://ia.media-imdb.com/images/M/MV5BMTI2OTY4ODgwN15BMl5BanBnXkFtZTcwMDgxODgzMQ@@._V1_SX300.jpg,75,6.9,4192,tt0388838,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1156587-clean/,2006-07-18,N/A,Palm,http://www.telefilm.gc.ca/data/production/prod_3266.asp?lang=en&amp;,True,NA,Rotten Tomatoes,72%
The Circle,2000,NOT RATED,2000-09-09,90 min,Drama,Jafar Panahi,"Kambuzia Partovi, Jafar Panahi (idea)","Nargess Mamizadeh, Maryiam Palvin Almani, Mojgan Faramarzi, Elham Saboktakin",Various women struggle to function in the oppressively sexist society of contemporary Iran.,Persian,"Iran, Italy, Switzerland",12 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NjczMTI0OV5BMl5BanBnXkFtZTcwMDkzMTkyMQ@@._V1_SX300.jpg,85,7.5,4908,tt0255094,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_circle_2001/,2001-12-18,N/A,Winstar Cinema,N/A,True,NA,Rotten Tomatoes,93%
Cure,1997,NOT RATED,2001-07-08,111 min,"Crime, Horror, Mystery, Thriller",Kiyoshi Kurosawa,"Kiyoshi Kurosawa (novel), Kiyoshi Kurosawa (screenplay)","Kôji Yakusho, Masato Hagiwara, Tsuyoshi Ujiki, Anna Nakagawa",A frustrated detective deals with the case of several gruesome murders committed by people who have no recollection of what they've done.,"Japanese, Spanish",Japan,9 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BOTcwNDQzMWUtZDIwZS00MjVjLTkyY2MtY2U5ZjAwMWIxMDRiXkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg,70,7.4,8335,tt0123948,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/cure_1997/,2004-01-06,N/A,Cowboy Pictures,http://www.cowboybi.com/cure,True,NA,Rotten Tomatoes,92%
Primer,2004,PG-13,2005-05-27,77 min,"Drama, Sci-Fi, Thriller",Shane Carruth,Shane Carruth,"Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya","Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention.","English, French",USA,3 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNjc3OWVjMTItYjc0Yi00NmFlLTk2YTgtYmU0MzcxMjBkNTYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,68,6.9,88328,tt0390384,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/primer/,2005-04-05,"$392,420",ThinkFilm,http://primermovie.com/,True,NA,Rotten Tomatoes,72%
Cavite,2005,NOT RATED,2005-03-12,80 min,Thriller,"Neill Dela Llana, Ian Gamazon","Neill Dela Llana, Ian Gamazon","Ian Gamazon, Edwin Lagda, Edgar Tancangco, Norma Tancangco","Flying back to his home country, an American man is informed that his mother and sister have been kidnapped and will be killed if he doesn't comply with certain demands.","English, Filipino, Tagalog","Philippines, USA",4 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MDYzNDczMl5BMl5BanBnXkFtZTcwNDI5NzQzMQ@@._V1_SX300.jpg,64,6.3,596,tt0428303,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1162654-cavite/,2006-08-08,N/A,Gorilla Films,http://www.cavitemovie.com,True,NA,Rotten Tomatoes,73%
El Mariachi,1992,R,1993-02-26,81 min,"Action, Crime, Thriller",Robert Rodriguez,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt",A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,Spanish,"Mexico, USA",7 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BNjMwNzA1NmQtYjUyYS00MTNlLWJiNDktODM3YTFlZDA0ZWUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,73,6.9,58020,tt0104815,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/el_mariachi/,2003-08-26,N/A,Sony Pictures Home Entertainment,N/A,True,NA,Rotten Tomatoes,93%
Newlyweds,2011,NOT RATED,2011-12-26,95 min,"Comedy, Drama",Edward Burns,Edward Burns,"Edward Burns, Kerry Bishé, Marsha Dietlein, Caitlin FitzGerald",Newlyweds Buzzy and Katie find their blissful life disrupted by the arrival of his half-sister and news of her sister's marriage troubles.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAzNTExNjI3MV5BMl5BanBnXkFtZTcwNzUzNzYwNw@@._V1_SX300.jpg,N/A,6.4,1412,tt1880418,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/newlyweds/,2012-05-22,N/A,Phase 4 Films,http://www.edwardburns.net/,True,NA,Rotten Tomatoes,70%
Shanghai Calling,2012,PG-13,2013-02-08,100 min,"Comedy, Drama, Romance",Daniel Hsia,Daniel Hsia,"Le Geng, Daniel Henney, Sean Gallagher, Bill Marcus","A New York attorney is sent to Shanghai on business, where he finds himself in a legal mess that threatens his career. With the help of a relocation specialist and her contacts, he soon learns to appreciate the wonders of Shanghai.","English, Mandarin, Shanghainese","USA, China",3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjA1ODU5NzM5Ml5BMl5BanBnXkFtZTcwNjA4NTc3Nw@@._V1_SX300.jpg,45,6.3,1480,tt2070597,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/shanghai_calling/,2013-09-16,N/A,Starz Media,http://shanghaicalling.com/,True,NA,Rotten Tomatoes,53%
My Date with Drew,2004,PG,2005-09-30,90 min,Documentary,"Jon Gunn, Brian Herzlinger, Brett Winn",N/A,"Drew Barrymore, John August, Stephanie Bedell Quartararo, Allison Burnett","""If you don't take risks, you'll have a wasted soul."" - Drew Barrymore. Ever since the second grade when he first saw her in E.T. The Extraterrestrial, Brian Herzlinger has had a crush on ...",English,USA,11 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1ZGJmYjktMWJjMi00MWM2LTk4YmItYTFmZjI0YWE4YjY0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,51,6.5,4399,tt0378407,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/my_date_with_drew/,2006-01-03,"$85,222",First Look Pictures,http://www.mydatewithdrew.com,True,NA,Rotten Tomatoes,71%
