Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
5 Days of War,2011,R,2011-06-06,113 min,"Action, Drama, War",Renny Harlin,"Mikko Alanne (screenplay), David Battle (based on a screenplay by)","Rupert Friend, Emmanuelle Chriqui, Richard Coyle, Heather Graham","A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.",English,"Georgia, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTM2Nzg0NDg4NV5BMl5BanBnXkFtZTcwNTEyODQ4NQ@@._V1_SX300.jpg,31,5.6,12990,tt1486193,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/5_days_of_war/,2011-11-29,"$17,243",Anchor Bay Entertainment,http://www.fivedaysofwar.com/,True,NA,Rotten Tomatoes,32%
Triangle,2009,R,2009-10-16,99 min,"Fantasy, Mystery, Thriller",Christopher Smith,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman","A group of friends suffer a yachting accident and take refuge on a cruise drifting on the open sea, but quickly realize they were better off on the upturned yacht",English,"UK, Australia",1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BY2VlODI5ZmMtZDExYS00OWI4LWJiMWItZWZkZWRkNzlmZWI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,6.9,87579,tt1187064,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1212111-triangle/,2010-02-02,N/A,Icon Entertainment International,http://www.trianglethemovie.co.uk/,True,NA,Rotten Tomatoes,80%
Heaven Is for Real,2014,PG,2014-04-16,99 min,"Biography, Drama, Family",Randall Wallace,"Randall Wallace (screenplay), Chris Parker (screenplay), Todd Burpo (book), Lynn Vincent (book)","Greg Kinnear, Kelly Reilly, Thomas Haden Church, Connor Corum","A small-town father must find the courage and conviction to share his son's extraordinary, life-changing experience with the world.",English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BNjc3MzYzMTUzNF5BMl5BanBnXkFtZTgwNTYzNzI2MDE@._V1_SX300.jpg,47,5.8,23881,tt1929263,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/heaven_is_for_real/,2014-07-22,N/A,Sony Pictures,http://heavenisforreal.net/,True,NA,Rotten Tomatoes,49%
Snatch,2000,R,2001-01-19,102 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","English, Russian","UK, USA",4 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,55,8.3,705355,tt0208092,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/snatch/,2001-07-03,"$30,093,107",Columbia Pictures,N/A,True,NA,Rotten Tomatoes,73%
Pet Sematary,1989,R,1989-04-21,103 min,"Horror, Thriller",Mary Lambert,"Stephen King (novel), Stephen King (screenplay)","Dale Midkiff, Fred Gwynne, Denise Crosby, Brad Greenquist","After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",English,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BYjBlNTBhYWQtMzg5Yi00NDA2LWJmMjYtZmM0ODhiYzkwYmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,38,6.6,77824,tt0098084,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/pet_sematary/,2000-09-19,N/A,Paramount Home Video,N/A,True,NA,Rotten Tomatoes,50%
Maadadayo,1993,N/A,1998-03-20,134 min,Drama,Akira Kurosawa,"Akira Kurosawa, Hyakken Uchida (essays)","Tatsuo Matsumura, Hisashi Igawa, George Tokoro, Masayuki Yui","Following World War II, a retired professor approaching his autumn years finds his quality of life drastically reduced in war-torn Tokyo. Denying despair, he pursues writing and celebrates his birthday with his adoring students.","Japanese, English",Japan,6 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmVhYWNkZjMtYzMyNC00NGNiLTg3ZGUtODQ4MjE4M2U3YjViXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg,76,7.4,4115,tt0107474,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/madadayo/,2001-04-07,N/A,Winstar Cinema,N/A,True,NA,Rotten Tomatoes,87%
The Cry of the Owl,2009,R,2009-08-19,100 min,"Drama, Thriller",Jamie Thraves,"Jamie Thraves, Patricia Highsmith (novel)","Paddy Considine, Julia Stiles, Karl Pruner, Phillip MacKenzie","A troubled young man retreats from the big city and his ex-wife for the tranquility of a small town. He is drawn into a relationship with a young woman whose boyfriend goes missing, leaving the new arrival as a suspect.",English,"UK, Germany, France, Canada, USA",N/A,https://ia.media-imdb.com/images/M/MV5BMTQ5Njk5ODExM15BMl5BanBnXkFtZTcwMjYxMjA1Mw@@._V1_SX300.jpg,N/A,6,4081,tt1034302,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/cry_of_the_owl-2009/,2010-06-08,N/A,Myriad Pictures,N/A,True,NA,Rotten Tomatoes,11%
A Tale of Three Cities,2015,N/A,2015-08-28,130 min,Drama,Mabel Cheung,"Mabel Cheung, Alex Law","Ching Wan Lau, Wei Tang, Hailu Qin, Boran Jing","A Hong Kong war romantic film set in World War II based on the real-life story of Jackie Chan's parents, Charles and Lee-Lee Chan.",Mandarin,China,5 nominations.,https://m.media-amazon.com/images/M/MV5BOWYwMTc2NWItM2Q4ZS00ZmRjLTkxYTUtZjdjNDNkNTM5MThhXkEyXkFqcGdeQXVyNDY2NTc1ODY@._V1_SX300.jpg,N/A,6,201,tt3682770,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/a_tale_of_three_cities/,NA,N/A,N/A,N/A,True,NA,Rotten Tomatoes,50%
Gremlins,1984,PG,1984-06-08,106 min,"Comedy, Fantasy, Horror",Joe Dante,Chris Columbus,"Hoyt Axton, John Louie, Keye Luke, Don Steele",A boy inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,"English, Spanish",USA,7 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BZDVjN2FkYTQtNTBlOC00MjM5LTgzMWEtZWRlNGUyYmNiOTFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,70,7.3,174785,tt0087363,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/gremlins/,1999-06-22,N/A,Warner Bros. Pictures,N/A,True,NA,Rotten Tomatoes,84%
Star Wars: Episode IV - A New Hope,1977,PG,1977-05-25,121 min,"Action, Adventure, Fantasy, Sci-Fi",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",English,USA,Won 6 Oscars. Another 50 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,90,8.6,1099272,tt0076759,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/star_wars/,2004-09-21,N/A,20th Century Fox,http://www.starwars.com/episode-iv/,True,NA,Rotten Tomatoes,93%
Dirty Grandpa,2016,R,2016-01-22,102 min,Comedy,Dan Mazer,John Phillips,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza","Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",English,USA,2 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,21,5.9,97994,tt1860213,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/dirty_grandpa/,2016-05-17,"$34,690,808",Lionsgate Films,N/A,True,NA,Rotten Tomatoes,11%
Doctor Zhivago,1965,PG-13,1965-12-31,197 min,"Drama, Romance, War",David Lean,"Boris Pasternak (novel), Robert Bolt (screenplay)","Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","English, Russian, French","USA, Italy, UK",Won 5 Oscars. Another 16 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BNzdmZTk4MTktZmExNi00OWEwLTgxZDctNTE4NWMwNjc1Nzg2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,69,8,63184,tt0059113,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1006037-doctor_zhivago/,1998-01-01,N/A,MGM,N/A,True,NA,Rotten Tomatoes,82%
Trash,2014,R,2015-10-09,114 min,"Adventure, Crime, Drama, Mystery, Thriller","Stephen Daldry, Christian Duurvoort(co-director)","Andy Mulligan (based on the novel by), Felipe Braga (additional material), Richard Curtis (screenplay by)","Rickson Tevez, Wagner Moura, José Dumont, Daniel Zettel","Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","Portuguese, English","UK, Brazil, Germany",Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTEyNDY2Njc1NzheQTJeQWpwZ15BbWU4MDc1NzY2NjYx._V1_SX300.jpg,50,7.2,18406,tt1921149,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/trash_2015/,2015-11-17,"$10,230",Focus Features,http://www.focusfeatures.com/trash,True,NA,Rotten Tomatoes,64%
High School Musical 3: Senior Year,2008,G,2008-10-24,112 min,"Comedy, Drama, Family, Music, Musical, Romance",Kenny Ortega,"Peter Barsocchini, Peter Barsocchini (characters)","Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.",English,USA,8 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNDE1NjU2NTMyNV5BMl5BanBnXkFtZTcwMTg3NDA3MQ@@._V1_SX300.jpg,57,4.7,52028,tt0962726,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1194524-high_school_musical_3_senior_year/,2009-02-17,"$90,535,406",Walt Disney Pictures,http://disney.go.com/disneypictures/highschoolmusical3/,True,NA,Rotten Tomatoes,64%
The Fighter,2010,R,2010-12-17,116 min,"Biography, Drama, Sport",David O. Russell,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",English,USA,Won 2 Oscars. Another 72 wins & 116 nominations.,https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,79,7.8,311818,tt0964517,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the-fighter/,2011-03-15,"$93,571,803",Paramount Pictures,http://www.TheFighterMovie.com/,True,NA,Rotten Tomatoes,90%
Jackass Number Two,2006,R,2006-09-22,92 min,"Documentary, Action, Comedy",Jeff Tremaine,"Jeff Tremaine (television series ""Jackass""), Spike Jonze (television series ""Jackass""), Johnny Knoxville (television series ""Jackass""), Jeff Tremaine (concepts by), Johnny Knoxville (concepts by), Bam Margera (concepts by), Steve-O (concepts by), Chris Pontius (concepts by), Ryan Dunn (concepts by), Jason 'Wee Man' Acuña (concepts by), Preston Lacy (concepts by), Dave England (concepts by), Ehren McGhehey (concepts by), Mark Lewman (concepts by), Dimitry Elyashkevich (concepts by), Al Walker (concepts by), Brandon DiCamillo (concepts by), Darrin Prescott (concepts by), David Weathers (concepts by), Gary Leffew (concepts by), Juicy J (concepts by), Loomis Fall (concepts by), Scott Rogerts (concepts by), Preston Lacy (additional scenes)","Johnny Knoxville, Bam Margera, Steve-O, Chris Pontius","Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzgzNDYyOTcxNl5BMl5BanBnXkFtZTcwODczNzUzMQ@@._V1_SX300.jpg,66,7.1,62278,tt0493430,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/jackass_number_2/,2006-12-26,"$72,755,517",Paramount,http://www.jackassmovie.com/,True,NA,Rotten Tomatoes,63%
My Cousin Vinny,1992,R,1992-03-13,120 min,"Comedy, Crime",Jonathan Lynn,Dale Launer,"Joe Pesci, Ralph Macchio, Marisa Tomei, Mitchell Whitfield","Two New Yorkers are accused of murder in rural Alabama while on their way back to college, and one of their cousins--an inexperienced, loudmouth lawyer not accustomed to Southern rules and manners--comes in to defend them.",English,USA,Won 1 Oscar. Another 4 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTQxNDYzMTg1M15BMl5BanBnXkFtZTgwNzk4MDgxMTE@._V1_SX300.jpg,68,7.6,94870,tt0104952,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/my_cousin_vinny/,2001-08-14,N/A,Twentieth Century Fox Home Entertainment,N/A,True,NA,Rotten Tomatoes,85%
If I Stay,2014,PG-13,2014-08-22,107 min,"Drama, Fantasy, Music, Romance",R.J. Cutler,"Shauna Cross (screenplay), Gayle Forman (novel)","Chloë Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",English,USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjI4NjkxODMyMF5BMl5BanBnXkFtZTgwODYwODQ5MTE@._V1_SX300.jpg,46,6.8,105756,tt1355630,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/if_i_stay/,2014-11-18,N/A,Warner Bros. Pictures,http://www.ifistaymovie.com,True,NA,Rotten Tomatoes,35%
Drive Hard,2014,Not Rated,2014-10-03,92 min,"Action, Comedy, Crime",Brian Trenchard-Smith,"Chad Law, Evan Law, Brigitte Jean Allen (screenplay by), Brian Trenchard-Smith (screenplay by)","John Cusack, Thomas Jane, Zoe Ventoura, Christopher Morris",A former race car driver is abducted by a mysterious thief and forced to be the wheel-man for a crime that puts them both in the sights of the cops and the mob.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTczMjc0ODQwNV5BMl5BanBnXkFtZTgwNzAzODU0MjE@._V1_SX300.jpg,29,4.4,3856,tt2968804,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/drive_hard/,2014-11-11,N/A,RLJ/Image Entertainment,N/A,True,NA,Rotten Tomatoes,8%
Major League,1989,R,1989-04-07,107 min,"Comedy, Sport",David S. Ward,David S. Ward,"Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.","English, Spanish, Japanese",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzM5MWViNTMtMDQ5Ni00M2M0LTg1OTktY2I3YTJkODVkNTBkXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,62,7.2,55270,tt0097815,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/major_league/,2002-09-24,N/A,Paramount Home Video,N/A,True,NA,Rotten Tomatoes,82%
