Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
Human Traffic,1999,R,2000-05-05,99 min,"Comedy, Music",Justin Kerrigan,Justin Kerrigan,"John Simm, Lorraine Pilkington, Shaun Parkes, Nicola Reynolds","Five friends spend one lost weekend in a mix of music, love and club culture.",English,"UK, Ireland",9 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BM2ZlMjIxZjgtZGJiMC00ODAwLWJhNWYtYWJkZDg2Y2VkM2QyXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,53,7.1,21265,tt0188674,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/human_traffic/,2000-12-12,N/A,Miramax Films,N/A,True,NA,Rotten Tomatoes,59%
The Hunt,2012,R,2013-01-10,115 min,Drama,Thomas Vinterberg,"Tobias Lindholm (screenplay), Thomas Vinterberg (screenplay)","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Danish, English, Polish","Denmark, Sweden",Nominated for 1 Oscar. Another 36 wins & 66 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg,77,8.3,234176,tt2106476,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_hunt_2013/,2013-12-10,"$610,968",Magnolia Pictures,http://www.magpictures.com/thehunt/,True,NA,Rotten Tomatoes,94%
A Christmas Story,1983,PG,1983-11-18,94 min,"Comedy, Family",Bob Clark,"Jean Shepherd (based on the novel ""In God We Trust,  All Others Pay Cash"" by), Jean Shepherd (screenplay), Leigh Brown (screenplay), Bob Clark (screenplay)","Melinda Dillon, Darren McGavin, Scott Schwartz, Jean Shepherd","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",English,"USA, Canada",3 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BOWMyNjE0MzEtMzVjNy00NjIxLTg0ZjMtMWJhNGI1YmVjYTczL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,77,8,121240,tt0085334,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1004151-christmas_story/,1999-09-28,N/A,MGM,http://www2.warnerbros.com/achristmasstory/,True,NA,Rotten Tomatoes,89%
Bella,2006,PG-13,2007-11-30,91 min,"Drama, Romance",Alejandro Monteverde,"Alejandro Monteverde, Patrick Million, Leo Severino","Eduardo Verástegui, Tammy Blanchard, Manny Perez, Angélica Aragón",A chef with a mysterious past spends the day with a waitress who needs a friend.,"English, Spanish","USA, Mexico",6 wins.,https://m.media-amazon.com/images/M/MV5BNzI4OTYwOTg0MF5BMl5BanBnXkFtZTcwMTM1MjUyNw@@._V1_SX300.jpg,47,7.3,10085,tt0482463,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/bella/,2008-05-07,"$7,884,317",Roadside Attractions,http://www.bellathemovie.com/,True,NA,Rotten Tomatoes,42%
Class of 1984,1982,R,1982-08-20,98 min,"Action, Crime, Drama, Thriller",Mark L. Lester,"Tom Holland (story), Mark L. Lester (screenplay), John C.W. Saxton (screenplay), Tom Holland (screenplay)","Perry King, Merrie Lynn Ross, Timothy Van Patten, Roddy McDowall",A new teacher at a troubled inner-city high school soon ends up clashing with the delinquent leader of a punk posse that runs the school.,English,Canada,2 nominations.,https://m.media-amazon.com/images/M/MV5BN2QzMTRlOTUtYzc3MS00NWUzLWI2YzAtNDM5NjkyNDMyMTMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,49,6.6,8077,tt0083739,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/class_of_1984/,2006-01-17,N/A,United Film Distribution,N/A,True,NA,Rotten Tomatoes,75%
Dreaming of Joseph Lees,1999,R,1999-11-26,92 min,"Romance, Drama",Eric Styles,Catherine Linstrum,"Rupert Graves, Samantha Morton, Nicholas Woodeson, Lee Ross","Somerset, 1958. Eva enters adulthood with good humor, keeping house for her absent-minded father, letting her younger sister Janie in on the secrets of growing up, working at a furniture ...",English,"USA, UK",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTY3OTE3OTA3OF5BMl5BanBnXkFtZTYwMjgwNTg5._V1_SX300.jpg,55,6.4,734,tt0144178,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/dreaming_of_joseph_lees/,2000-05-16,N/A,Twentieth Century Fox Home Entertainment,N/A,True,NA,Rotten Tomatoes,36%
The Class,2008,PG-13,2009-03-13,128 min,Drama,Laurent Cantet,"Laurent Cantet (scenario), Robin Campillo (scenario), François Bégaudeau (scenario), François Bégaudeau (inspired by the book)","François Bégaudeau, Agame Malembo-Emene, Angélica Sancio, Arthur Fogel",Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.,"French, Bambara, Spanish",France,Nominated for 1 Oscar. Another 10 wins & 27 nominations.,https://m.media-amazon.com/images/M/MV5BOTJkMDZjNWEtYTM5My00MTgzLWFlN2QtMzUzYjNiZmJkN2I3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,92,7.5,31964,tt1068646,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_class/,2009-08-11,"$3,700,000",Sony Pictures Classics,http://www.sonyclassics.com/theclass,True,NA,Rotten Tomatoes,96%
Rosemary's Baby,1968,R,1968-10-17,137 min,"Drama, Horror",Roman Polanski,"Ira Levin (novel), Roman Polanski (screenplay)","Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer","A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.",English,USA,Won 1 Oscar. Another 9 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMjE3NzE4NzkyNl5BMl5BanBnXkFtZTgwNTYyODgwNzE@._V1_SX300.jpg,96,8,166561,tt0063522,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/rosemarys_baby/,2000-10-03,N/A,Paramount Pictures,N/A,True,NA,Rotten Tomatoes,99%
The Man Who Shot Liberty Valance,1962,Not Rated,1962-04-22,123 min,"Drama, Western",John Ford,"James Warner Bellah (screenplay), Willis Goldbeck (screenplay), Dorothy M. Johnson (based on the story by)","John Wayne, James Stewart, Vera Miles, Lee Marvin","A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",English,USA,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMGEyNzhkYzktMGMyZS00YzRiLWJlYjktZjJkOTU5ZDY0ZGI4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,94,8.1,61738,tt0056217,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/man_who_shot_liberty_valance/,2001-06-05,N/A,Paramount Home Video,N/A,True,NA,Rotten Tomatoes,93%
Adam,2009,PG-13,2009-08-28,99 min,"Comedy, Drama, Romance",Max Mayer,Max Mayer,"Hugh Dancy, Rose Byrne, Peter Gallagher, Amy Irving","Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.",English,USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTkzNzk4NDYwNl5BMl5BanBnXkFtZTcwOTE2MTY1Mg@@._V1_SX300.jpg,56,7.2,31627,tt1185836,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1208105-adam/,2010-02-02,"$2,121,118",Fox Searchlight Pictures,http://www.foxsearchlight.com/adam/,True,NA,Rotten Tomatoes,65%
Maria Full of Grace,2004,R,2004-08-06,101 min,"Crime, Drama",Joshua Marston,Joshua Marston,"Catalina Sandino Moreno, Virgina Ariza, Yenny Paola Vega, Rodrigo Sánchez Borhorquez",A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.,"Spanish, English","Colombia, Ecuador, USA",Nominated for 1 Oscar. Another 41 wins & 33 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyMTM0MDA4NV5BMl5BanBnXkFtZTcwNTY0OTUyMQ@@._V1_SX300.jpg,87,7.5,32460,tt0390221,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/maria_full_of_grace/,2004-12-07,"$6,517,198",New Line Cinema,http://www.mariafullofgrace.com/main.html,True,NA,Rotten Tomatoes,97%
Beginners,2010,R,2011-06-09,105 min,"Comedy, Drama, Romance",Mike Mills,Mike Mills,"Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic",A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.,"English, French",USA,Won 1 Oscar. Another 34 wins & 29 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyNDcxNTk3NV5BMl5BanBnXkFtZTcwMjk4MDU2NA@@._V1_SX300.jpg,81,7.2,83098,tt1532503,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/beginners/,2011-11-15,"$5,764,842",Focus Features,http://www.BeginnersMovie.com/,True,NA,Rotten Tomatoes,85%
Feast,2005,R,2007-01-18,95 min,"Action, Comedy, Horror, Thriller",John Gulager,"Patrick Melton, Marcus Dunstan","Duane Whitaker, Balthazar Getty, Chauntae Davies, Hannah Bernall",Patrons locked inside a bar are forced to fight monsters.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTI0MzI5MTY1OV5BMl5BanBnXkFtZTcwMzU4MjYzMQ@@._V1_SX300.jpg,43,6.3,27896,tt0426459,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/feast/,2010-09-14,N/A,The Weinstein Company,http://www.myspace.com/feastthemovie,True,NA,Rotten Tomatoes,57%
