Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response,totalSeasons,ratingSite,tomatoMeter
Free State of Jones,2016,R,2016-06-24,139 min,"Action, Biography, Drama, History, War",Gary Ross,"Gary Ross (screenplay by), Leonard Hartman (story), Gary Ross (story)","Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,English,USA,3 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTA4NTYyMTcwNTFeQTJeQWpwZ15BbWU4MDI0NTg0MDkx._V1_SX300.jpg,53,6.9,43089,tt1124037,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the_free_state_of_jones/,2016-09-20,N/A,STX Entertainment,http://stxmovies.com/freestateofjones/,True,NA,Rotten Tomatoes,46%
The Life of David Gale,2003,R,2003-02-21,130 min,"Crime, Drama, Thriller",Alan Parker,Charles Randolph,"Kate Winslet, Cleo King, Constance Jones, Kevin Spacey",A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,"English, Spanish","USA, Germany, UK, Spain",3 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxMzU0NTgxNzZeQTJeQWpwZ15BbWU2MDQzNDkxNw@@._V1_SX300.jpg,31,7.6,100295,tt0289992,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/life_of_david_gale/,2003-07-22,"$19,593,740",Universal Pictures,http://www.thelifeofdavidgale.com,True,NA,Rotten Tomatoes,19%
Man of the House,2005,PG-13,2005-02-25,100 min,"Comedy, Crime",Stephen Herek,"John J. McLaughlin (story), Scott Lobdell (story), Robert Ramsey (screenplay), Matthew Stone (screenplay), John J. McLaughlin (screenplay)","Tommy Lee Jones, Cedric the Entertainer, Christina Milian, Paula Garcés",A Texas Ranger must protect a group of cheerleaders who have witnessed a murder.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODY3Nzg2NDQ5Ml5BMl5BanBnXkFtZTcwOTQ5MDgyMQ@@._V1_SX300.jpg,35,5.4,21541,tt0331933,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/man_of_the_house/,2005-07-19,"$19,118,247",Columbia Pictures,http://www.sonypictures.com/movies/manofthehouse/index.html,True,NA,Rotten Tomatoes,9%
Run All Night,2015,R,2015-03-13,114 min,"Action, Crime, Drama, Thriller",Jaume Collet-Serra,Brad Ingelsby,"Liam Neeson, Ed Harris, Joel Kinnaman, Boyd Holbrook","Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU2ODI3ODEyOV5BMl5BanBnXkFtZTgwMTM3NTQzNDE@._V1_SX300.jpg,59,6.6,92442,tt2199571,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/run_all_night/,2015-06-16,N/A,Warner Bros.,http://runallnightmovie.com/,True,NA,Rotten Tomatoes,59%
Eastern Promises,2007,R,2007-09-21,100 min,"Crime, Drama, Thriller",David Cronenberg,Steven Knight (screenplay),"Josef Altin, Mina E. Mina, Aleksandar Mikic, Sarah-Jeanne Labrosse",A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.,"English, Russian, Turkish, Ukrainian, Urdu","UK, Canada, USA",Nominated for 1 Oscar. Another 28 wins & 70 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwMzU0OTY3NF5BMl5BanBnXkFtZTYwNzkwNjg2._V1_SX300.jpg,82,7.7,211923,tt0765443,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/eastern_promises/,2007-12-23,"$17,114,882",Focus Features,http://www.focusfeatures.com/easternpromises/,True,NA,Rotten Tomatoes,89%
Into the Blue,2005,PG-13,2005-09-30,110 min,"Action, Adventure, Crime, Thriller",John Stockwell,Matt Johnson,"Paul Walker, Jessica Alba, Scott Caan, Ashley Scott",A group of divers find themselves in deep trouble with a drug lord after they come upon the illicit cargo of a sunken airplane.,English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMmVlM2FhODYtOWFhZi00YmE5LWIwNWUtZDMxNTlkNDgxNTA0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,45,5.9,69386,tt0378109,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/into_the_blue/,2005-12-26,"$18,472,363",Sony Pictures,http://www.intothebluemovie.com/,True,NA,Rotten Tomatoes,21%
The Messenger: The Story of Joan of Arc,1999,R,1999-11-12,148 min,"Adventure, Biography, Drama, History, War",Luc Besson,"Andrew Birkin, Luc Besson","Rab Affleck, Stéphane Algoud, Edwin Apps, David Bailie",A young girl receives a vision that drives her to rid France of its oppressors.,"English, Latin","France, Czech Republic",5 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyMDMwMjg4Nl5BMl5BanBnXkFtZTcwMzM2NDU2MQ@@._V1_SX300.jpg,54,6.4,60560,tt0151137,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/messenger_the_story_of_joan_of_arc/,2001-10-30,N/A,Columbia Pictures,http://www.joan-of-arc.com,True,NA,Rotten Tomatoes,30%
Your Highness,2011,R,2011-04-08,102 min,"Adventure, Comedy, Fantasy",David Gordon Green,"Danny McBride, Ben Best","Danny McBride, James Franco, Rasmus Hardiker, Natalie Portman","When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTY2MDgwODIyMV5BMl5BanBnXkFtZTcwODc1NDQ0NA@@._V1_SX300.jpg,31,5.5,92174,tt1240982,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/your_highness/,2011-08-09,"$21,600,000",Universal Pictures,http://www.yourhighnessmovie.net/,True,NA,Rotten Tomatoes,28%
Dream House,2011,PG-13,2011-09-30,84 min,"Drama, Mystery, Thriller",Jim Sheridan,David Loucka,"Daniel Craig, Naomi Watts, Rachel Weisz, Elias Koteas","Soon after moving into their seemingly idyllic new home, a family learns of a brutal crime committed against former residents of the dwelling.",English,"USA, Canada",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTM5MzUxMDc5Ml5BMl5BanBnXkFtZTcwMTMwMjIwNg@@._V1_SX300.jpg,35,6,58894,tt1462041,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/dream_house_2011/,2012-01-31,"$21,300,000",Universal Pictures,http://www.dreamhousemovie.net,True,NA,Rotten Tomatoes,6%
Mad City,1997,PG-13,1997-11-07,115 min,"Crime, Drama, Thriller",Costa-Gavras,"Tom Matthews (screenplay), Tom Matthews (story), Eric Williams (story)","John Travolta, Dustin Hoffman, Mia Kirshner, Alan Alda","A disgruntled security guard holds a school trip group hostage, while a news reporter forms a bond with him.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYmQ0MWU1MjUtMzgxZS00NTE5LWEwNzgtMzY0NDUwNzFmOTI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,45,6.2,17968,tt0119592,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/mad_city/,2001-11-06,N/A,Warner Home Video,N/A,True,NA,Rotten Tomatoes,37%
Baby's Day Out,1994,PG,1994-07-01,99 min,"Adventure, Comedy, Crime, Drama, Family",Patrick Read Johnson,John Hughes,"Joe Mantegna, Lara Flynn Boyle, Joe Pantoliano, Brian Haley","Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzI3NmQ1ZDUtZWQ1My00NzlkLWE5OGQtZjZkYWJmYzYwY2QxXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,N/A,6,40198,tt0109190,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/babys_day_out/,2002-01-29,N/A,Twentieth Century Fox Home Entertainment,N/A,True,NA,Rotten Tomatoes,20%
The Scarlet Letter,1995,R,1995-10-13,135 min,"Drama, Romance",Roland Joffé,"Nathaniel Hawthorne (novel), Douglas Day Stewart (screenplay)","Demi Moore, Gary Oldman, Robert Duvall, Lisa Andoh",An affair between a young woman and a pastor has disastrous consequences.,English,USA,1 win & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxOWQ0OWMtY2E5YS00YjkzLWFjODQtZGY4NTQ5YmE2OGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,5.2,13376,tt0114345,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1066120-scarlet_letter/,2002-06-04,N/A,Buena Vista,N/A,True,NA,Rotten Tomatoes,13%
Fair Game,2010,PG-13,2010-12-03,108 min,"Biography, Drama, Thriller",Doug Liman,"Jez Butterworth (screenplay), John-Henry Butterworth (screenplay), Joseph Wilson (book), Valerie Plame Wilson (book)","Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari",CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,"English, Arabic, French","USA, United Arab Emirates",4 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjIyOTg1NzU0Ml5BMl5BanBnXkFtZTcwMjA2OTY5Mw@@._V1_SX300.jpg,69,6.8,43311,tt0977855,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/fair-game-2010/,2011-03-29,"$9,528,092",Summit Entertainment,http://www.fairgame-movie.com/,True,NA,Rotten Tomatoes,78%
Jade,1995,R,1995-10-13,95 min,"Crime, Drama, Thriller",William Friedkin,Joe Eszterhas,"David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna","A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BYTcwZDIyMDEtN2Q4MS00ZTIxLWEwMjMtM2I5NWViOTNjMGRhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,N/A,5.2,10423,tt0113451,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/jade/,1999-02-16,N/A,Paramount,N/A,True,NA,Rotten Tomatoes,14%
Gamer,2009,R,2009-09-04,95 min,"Action, Sci-Fi, Thriller","Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","Gerard Butler, Amber Valletta, Michael C. Hall, Kyra Sedgwick","In a future mind-controlling game, death row convicts are forced to battle in a 'Doom'-type environment. Convict Kable, controlled by Simon, a skilled teenage gamer, must survive thirty sessions in order to be set free. Or won't he?",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg,27,5.8,123397,tt1034032,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/gamer/,2010-01-18,"$20,488,579",Lionsgate Films,http://gamerthemovie.com/,True,NA,Rotten Tomatoes,28%
Beautiful Creatures,2013,PG-13,2013-02-14,124 min,"Drama, Fantasy, Romance",Richard LaGravenese,"Richard LaGravenese (screenplay), Kami Garcia (based on the novel ""Beautiful Creatures"" by), Margaret Stohl (based on the novel ""Beautiful Creatures"" by)","Alden Ehrenreich, Alice Englert, Jeremy Irons, Viola Davis","Ethan longs to escape his small Southern town. He meets a mysterious new girl, Lena. Together, they uncover dark secrets about their respective families, their history and their town.",English,USA,9 nominations.,https://m.media-amazon.com/images/M/MV5BMTQyMjYwODMwMl5BMl5BanBnXkFtZTcwODUwNzY5OA@@._V1_SX300.jpg,52,6.2,78763,tt1559547,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/beautiful_creatures_2013/,2013-05-21,"$19,445,217",Warner Bros. Pictures,http://beautifulcreaturesmovie.com,True,NA,Rotten Tomatoes,47%
Death to Smoochy,2002,R,2002-03-29,109 min,"Comedy, Crime, Drama, Thriller",Danny DeVito,Adam Resnick,"Robin Williams, Edward Norton, Catherine Keener, Danny DeVito","A kids show host, Rainbow Randolph, is fired in disgrace while his replacement, Sheldon Mopes, aka Smoochy the Rhino, finds himself a rising star. Unfortunately for Sheldon, the business of kids television isn't all child's play.",English,"UK, Germany, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BNzlmZTQ1YzUtOGZjMi00YmVhLTg0ZDQtMmUyMjVlZDZhOTIwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,38,6.4,37000,tt0266452,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/death_to_smoochy/,2002-09-17,"$8,308,230",Warner Bros. Pictures,http://deathtosmoochymovie.warnerbros.com,True,NA,Rotten Tomatoes,42%
Zoolander 2,2016,PG-13,2016-02-12,101 min,Comedy,Ben Stiller,"Justin Theroux, Ben Stiller, Nicholas Stoller, John Hamburg, Drake Sather (character Derek Zoolander), Ben Stiller (character Derek Zoolander)","Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller","Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.","English, Italian, Spanish","USA, Italy",7 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMjI2MjQxNTQzOV5BMl5BanBnXkFtZTgwMDE2MTY2NzE@._V1_SX300.jpg,34,4.7,58758,tt1608290,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/zoolander_2/,2016-05-24,"$29,782,560",Paramount Pictures,http://www.zoolander.com/,True,NA,Rotten Tomatoes,22%
The Big Bounce,2004,PG-13,2004-01-30,88 min,"Comedy, Crime",George Armitage,"Elmore Leonard (novel), Sebastian Gutierrez (screenplay)","Owen Wilson, Butch Helemano, Charlie Sheen, Vinnie Jones","A small-time con artist and a Hawaiian real estate developer's mischevious, enterprising mistress team up for a potential $200,000 score.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU5NDM5ODEyM15BMl5BanBnXkFtZTYwMTcyMTY3._V1_SX300.jpg,42,4.9,16929,tt0315824,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/big_bounce/,2004-07-20,"$6,331,346",Warner Bros. Pictures,http://thebigbounce.warnerbros.com/,True,NA,Rotten Tomatoes,16%
What Planet Are You From?,2000,R,2000-03-03,105 min,"Comedy, Sci-Fi",Mike Nichols,"Garry Shandling (story), Michael Leeson (story), Garry Shandling (screenplay), Michael Leeson (screenplay), Ed Solomon (screenplay), Peter Tolan (screenplay)","Garry Shandling, Annette Bening, John Goodman, Greg Kinnear",A human-looking alien from a highly advanced but emotionless all-male society is sent to Earth to impregnate a woman and bring the child back to their planet. The alien ends up falling in love there. A suspicious F.A.A. Agent targets him.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTM4ODgzNDU2OF5BMl5BanBnXkFtZTYwMjI1Njc2._V1_SX300.jpg,41,5.6,8729,tt0181151,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/1095351-1095351-what_planet_are_you_from/,2000-07-18,N/A,Columbia Pictures,http://www.spe.sony.com/movies/whatplanet,True,NA,Rotten Tomatoes,42%
Drive Angry,2011,R,2011-02-25,104 min,"Action, Fantasy, Thriller",Patrick Lussier,"Todd Farmer, Patrick Lussier","Nicolas Cage, Amber Heard, William Fichtner, Billy Burke",A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.,English,USA,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjIwNTM4Njg2NF5BMl5BanBnXkFtZTcwNDQwMTAwNA@@._V1_SX300.jpg,44,5.4,89147,tt1502404,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/drive-angry/,2011-05-31,"$10,706,786",Summit Entertainment,http://www.driveangry3d.com/,True,NA,Rotten Tomatoes,47%
Street Fighter: The Legend of Chun-Li,2009,PG-13,2009-02-27,96 min,"Action, Crime, Thriller",Andrzej Bartkowiak,"Justin Marks (screenplay), Alexandre Dumas (novel)","Kristin Kreuk, Chris Klein, Neal McDonough, Robin Shou","When a teenager, Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up, she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.","English, Hindi, Japanese, Thai","Canada, India, USA, Japan, Thailand",N/A,https://m.media-amazon.com/images/M/MV5BMTQ2Mzc1MDc5MV5BMl5BanBnXkFtZTcwMDk1NTIzMg@@._V1_SX300.jpg,17,3.7,21594,tt0891592,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/street_fighter_the_legend_of_chun_li/,2009-06-30,"$8,646,753",20th Century Fox,http://streetfightermovie.net/,True,NA,Rotten Tomatoes,6%
The One,2001,PG-13,2001-11-02,87 min,"Action, Sci-Fi, Thriller",James Wong,"Glen Morgan, James Wong","Jet Li, Carla Gugino, Delroy Lindo, Jason Statham","A rogue Multiverse agent goes on a manhunt for versions of himself, getting stronger with each kill. With only one version remaining, he races against the clock to finish him and become ""The One.""",English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BNzY4YmUzMDAtMDYyZS00MTBmLWEzZDAtOGY3MDE2YjJkMGUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,25,5.9,84621,tt0267804,movie,N/A,NA,NA,NA,NA,N/A,NA,NA,NA,http://www.rottentomatoes.com/m/the-one/,2002-03-05,N/A,Columbia Pictures,http://www.spe.sony.com/movies/theone,True,NA,Rotten Tomatoes,14%
